;Scopy version,48fb6a9
;Exported on,Wednesday July 24/07/2019
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V),M1(V)
470,-0.00353,0.175286,0.170893,0.00390625
471,-0.003529,0.168781,0.164343,0.00390625
472,-0.003528,0.163902,0.161068,0.00292969
473,-0.003527,0.159023,0.156155,0.00292969
474,-0.003526,0.154144,0.149605,0.00390625
475,-0.003525,0.147639,0.143055,0.00390625
476,-0.003524,0.141134,0.136504,0.00390625
477,-0.003523,0.133002,0.129954,0.00390625
478,-0.003522,0.129749,0.125041,0.00390625
479,-0.003521,0.123244,0.120128,0.00390625
480,-0.00352,0.119992,0.116853,0.00390625
481,-0.003519,0.115113,0.110303,0.00390625
482,-0.003518,0.108608,0.103753,0.00390625
483,-0.003517,0.0988497,0.0972024,0.000976563
484,-0.003516,0.0923445,0.0906521,0.000976563
485,-0.003515,0.0890919,0.0841018,0.00488281
486,-0.003514,0.084213,0.079189,0.00488281
487,-0.003513,0.0777078,0.0742763,0.00390625
488,-0.003512,0.0712026,0.0693635,0.000976563
489,-0.003511,0.0646974,0.0628132,0.000976563
490,-0.00351,0.0598185,0.0562629,0.00390625
491,-0.003509,0.0533133,0.048075,0.00488281
492,-0.003508,0.0468081,0.0447999,0.00292969
493,-0.003507,0.0419291,0.0382496,0.00390625
494,-0.003506,0.0354239,0.0316993,0.00390625
495,-0.003505,0.0321713,0.0284241,0.00390625
496,-0.003504,0.0240398,0.0218738,0.00292969
497,-0.003503,0.0191609,0.0153235,0.00390625
498,-0.003502,0.0126557,0.00877316,0.00390625
499,-0.003501,0.00615051,0.00386042,0.00292969
500,-0.0035,0.0028979,-0.00432747,0.0078125
501,-0.003499,-0.00360731,-0.00760262,0.00390625
502,-0.003498,-0.0101125,-0.0157905,0.00488281
503,-0.003497,-0.0166177,-0.0190657,0.00292969
504,-0.003496,-0.0198703,-0.025616,0.00488281
505,-0.003495,-0.0280018,-0.0321663,0.00390625
506,-0.003494,-0.0312544,-0.0387166,0.0078125
507,-0.003493,-0.0393859,-0.0452669,0.00683594
508,-0.003492,-0.0442649,-0.0501797,0.00683594
509,-0.003491,-0.0507701,-0.0534548,0.00292969
510,-0.00349,-0.0572753,-0.0616427,0.00390625
511,-0.003489,-0.0621542,-0.068193,0.00683594
512,-0.003488,-0.0686594,-0.0714682,0.00292969
513,-0.003487,-0.0735383,-0.0780185,0.00390625
514,-0.003486,-0.0800435,-0.0845688,0.00390625
515,-0.003485,-0.0849224,-0.0894815,0.00390625
516,-0.003484,-0.0930539,-0.0960318,0.00390625
517,-0.003483,-0.0979328,-0.102582,0.00390625
518,-0.003482,-0.104438,-0.109132,0.00390625
519,-0.003481,-0.110943,-0.114045,0.00390625
520,-0.00348,-0.117448,-0.118958,0.000976563
521,-0.003479,-0.120701,-0.122233,0.000976563
522,-0.003478,-0.127206,-0.130421,0.00390625
523,-0.003477,-0.132085,-0.136971,0.00488281
524,-0.003476,-0.13859,-0.143522,0.00488281
525,-0.003475,-0.145096,-0.148434,0.00390625
526,-0.003474,-0.151601,-0.154985,0.00390625
527,-0.003473,-0.158106,-0.161535,0.00390625
