;Scopy version,6fa2c03
;Exported on,Wednesday September 25/09/2019
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+07
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
429,-0.0001171,1.53244,1.61885
430,-0.000117,1.52933,1.61885
431,-0.0001169,1.53244,1.61885
432,-0.0001168,1.53089,1.61885
433,-0.0001167,1.53089,1.61885
434,-0.0001166,1.53089,1.61885
435,-0.0001165,1.53399,1.61885
436,-0.0001164,1.53244,1.61885
437,-0.0001163,1.53244,1.61885
438,-0.0001162,1.53244,1.61885
439,-0.0001161,1.52933,1.61728
440,-0.000116,1.53244,1.61885
441,-0.0001159,1.53399,1.61885
442,-0.0001158,1.53244,1.61885
443,-0.0001157,1.53244,1.61885
444,-0.0001156,1.53244,1.61885
445,-0.0001155,1.53244,1.61885
446,-0.0001154,1.53555,1.61885
447,-0.0001153,1.53089,1.61885
448,-0.0001152,1.53089,1.61885
449,-0.0001151,1.53244,1.61885
450,-0.000115,1.53399,1.61728
451,-0.0001149,1.53244,1.61728
452,-0.0001148,1.53399,1.61728
453,-0.0001147,1.52933,1.61885
454,-0.0001146,1.53244,1.61885
455,-0.0001145,1.53244,1.61728
456,-0.0001144,1.53244,1.62042
457,-0.0001143,1.53089,1.61885
458,-0.0001142,1.53244,1.61885
459,-0.0001141,1.53244,1.61728
460,-0.000114,1.53244,1.62042
461,-0.0001139,1.53555,1.61728
462,-0.0001138,1.53399,1.61885
463,-0.0001137,1.53399,1.61728
464,-0.0001136,1.53244,1.61728
465,-0.0001135,1.53555,1.61728
466,-0.0001134,1.53244,1.61728
467,-0.0001133,1.53555,1.61728
468,-0.0001132,1.53244,1.61728
469,-0.0001131,1.53399,1.61728
470,-0.000113,1.53399,1.61728
471,-0.0001129,1.53244,1.61885
472,-0.0001128,1.53089,1.61885
473,-0.0001127,1.53399,1.61728
474,-0.0001126,1.53244,1.61728
475,-0.0001125,1.53244,1.61728
476,-0.0001124,1.53244,1.61728
477,-0.0001123,1.53244,1.61728
478,-0.0001122,1.53089,1.61728
479,-0.0001121,1.53399,1.61728
480,-0.000112,1.53399,1.61572
481,-0.0001119,1.53244,1.61572
482,-0.0001118,1.53555,1.61728
483,-0.0001117,1.53399,1.61728
484,-0.0001116,1.53244,1.61728
485,-0.0001115,1.53399,1.61728
486,-0.0001114,1.53244,1.61415
487,-0.0001113,1.53244,1.61728
488,-0.0001112,1.53555,1.61728
489,-0.0001111,1.53399,1.61728
490,-0.000111,1.53399,1.61728
491,-0.0001109,1.53399,1.61572
492,-0.0001108,1.53244,1.61728
493,-0.0001107,1.53244,1.61728
494,-0.0001106,1.53555,1.61885
495,-0.0001105,1.53244,1.61728
496,-0.0001104,1.53555,1.61728
497,-0.0001103,1.53399,1.61728
498,-0.0001102,1.53244,1.61728
499,-0.0001101,1.53555,1.61728
500,-0.00011,1.53399,1.61728
501,-0.0001099,1.5371,1.61728
502,-0.0001098,1.53555,1.61415
503,-0.0001097,1.53399,1.61885
504,-0.0001096,1.53555,1.61885
505,-0.0001095,1.53089,1.61885
506,-0.0001094,1.53399,1.61728
507,-0.0001093,1.53399,1.61728
508,-0.0001092,1.53555,1.61258
509,-0.0001091,1.53555,1.61572
510,-0.000109,1.53399,1.61728
511,-0.0001089,1.53399,1.61572
512,-0.0001088,1.53399,1.61572
513,-0.0001087,1.53244,1.61728
514,-0.0001086,1.53399,1.61572
515,-0.0001085,1.5371,1.61415
516,-0.0001084,1.53244,1.61728
517,-0.0001083,1.53555,1.61572
518,-0.0001082,1.53555,1.61572
519,-0.0001081,1.53399,1.61728
520,-0.000108,1.53399,1.61728
521,-0.0001079,1.53244,1.61728
522,-0.0001078,1.53555,1.61728
523,-0.0001077,1.53399,1.61728
524,-0.0001076,1.53555,1.61572
525,-0.0001075,1.53244,1.61572
526,-0.0001074,1.53555,1.61572
527,-0.0001073,1.53399,1.61572
528,-0.0001072,1.53555,1.61885
529,-0.0001071,1.53555,1.61572
530,-0.000107,1.53555,1.61572
531,-0.0001069,1.53555,1.61572
532,-0.0001068,1.53555,1.61572
533,-0.0001067,1.53555,1.61572
534,-0.0001066,1.53555,1.61572
535,-0.0001065,1.53555,1.61728
536,-0.0001064,1.53555,1.61728
537,-0.0001063,1.53244,1.61728
538,-0.0001062,1.53399,1.61728
539,-0.0001061,1.53555,1.61728
540,-0.000106,1.53244,1.61572
541,-0.0001059,1.53555,1.61572
542,-0.0001058,1.53244,1.61572
543,-0.0001057,1.53555,1.61572
544,-0.0001056,1.53399,1.61415
545,-0.0001055,1.53555,1.61415
546,-0.0001054,1.5371,1.61728
547,-0.0001053,1.53399,1.61415
548,-0.0001052,1.5371,1.61572
549,-0.0001051,1.53555,1.61572
550,-0.000105,1.53399,1.61728
551,-0.0001049,1.53399,1.61572
552,-0.0001048,1.53399,1.61572
553,-0.0001047,1.53555,1.61572
554,-0.0001046,1.53399,1.61572
555,-0.0001045,1.53555,1.61572
556,-0.0001044,1.53555,1.61572
557,-0.0001043,1.53555,1.61572
558,-0.0001042,1.53555,1.61572
559,-0.0001041,1.5371,1.61728
560,-0.000104,1.53399,1.61728
561,-0.0001039,1.53555,1.61728
562,-0.0001038,1.53555,1.61728
563,-0.0001037,1.53555,1.61728
564,-0.0001036,1.53399,1.61572
565,-0.0001035,1.5371,1.61728
566,-0.0001034,1.53866,1.61572
567,-0.0001033,1.53555,1.61572
568,-0.0001032,1.53555,1.61728
569,-0.0001031,1.53555,1.61728
570,-0.000103,1.53555,1.61728
571,-0.0001029,1.5371,1.61728
572,-0.0001028,1.53555,1.61572
573,-0.0001027,1.5371,1.61572
574,-0.0001026,1.53555,1.61572
575,-0.0001025,1.5371,1.61572
576,-0.0001024,1.5371,1.61572
577,-0.0001023,1.5371,1.61572
578,-0.0001022,1.5371,1.61728
579,-0.0001021,1.5371,1.61728
580,-0.000102,1.53866,1.61572
581,-0.0001019,1.53555,1.61572
582,-0.0001018,1.53555,1.61572
583,-0.0001017,1.5371,1.61572
584,-0.0001016,1.53555,1.61572
585,-0.0001015,1.53555,1.61572
586,-0.0001014,1.5371,1.61572
587,-0.0001013,1.5371,1.61572
588,-0.0001012,1.5371,1.61572
589,-0.0001011,1.53555,1.61572
590,-0.000101,1.53555,1.61572
591,-0.0001009,1.53555,1.61572
592,-0.0001008,1.53555,1.61572
593,-0.0001007,1.5371,1.61572
594,-0.0001006,1.53399,1.61572
595,-0.0001005,1.5371,1.61415
596,-0.0001004,1.53555,1.61572
597,-0.0001003,1.5371,1.61572
598,-0.0001002,1.53866,1.61572
599,-0.0001001,1.53555,1.61572
600,-0.0001,1.5371,1.61885
601,-9.99e-05,1.5371,1.61572
602,-9.98e-05,1.53555,1.61572
603,-9.97e-05,1.53399,1.61572
604,-9.96e-05,1.53555,1.61728
605,-9.95e-05,1.53866,1.61572
606,-9.94e-05,1.5371,1.61572
607,-9.93e-05,1.5371,1.61572
608,-9.92e-05,1.5371,1.61572
609,-9.91e-05,1.53555,1.61572
610,-9.9e-05,1.53866,1.61885
611,-9.89e-05,1.5371,1.61415
612,-9.88e-05,1.53555,1.61728
613,-9.87e-05,1.53866,1.61572
614,-9.86e-05,1.53866,1.61885
615,-9.85e-05,1.5371,1.61572
616,-9.84e-05,1.5371,1.61572
617,-9.83e-05,1.5371,1.61572
618,-9.82e-05,1.5371,1.61572
619,-9.81e-05,1.5371,1.61572
620,-9.8e-05,1.5371,1.61728
621,-9.79e-05,1.53555,1.61728
622,-9.78e-05,1.5371,1.61572
623,-9.77e-05,1.53866,1.61572
624,-9.76e-05,1.53555,1.61572
625,-9.75e-05,1.53866,1.61572
626,-9.74e-05,1.5371,1.61572
627,-9.73e-05,1.53555,1.61572
628,-9.72e-05,1.53866,1.61572
629,-9.71e-05,1.5371,1.61728
630,-9.7e-05,1.53866,1.61728
631,-9.69e-05,1.53866,1.61728
632,-9.68e-05,1.5371,1.61728
633,-9.67e-05,1.5371,1.61728
634,-9.66e-05,1.5371,1.61885
635,-9.65e-05,1.5371,1.61728
636,-9.64e-05,1.54021,1.61728
637,-9.63e-05,1.53866,1.61572
638,-9.62e-05,1.5371,1.61728
639,-9.61e-05,1.54021,1.61572
640,-9.6e-05,1.5371,1.61885
641,-9.59e-05,1.5371,1.61728
642,-9.58e-05,1.53866,1.61728
